ANO,Código do Município,Município,Esperança de vida ao nascer,Mortalidade infantil
2010,310010,Abadia dos Dourados,"75,35","14,8"
2010,310020,Abaeté,"75,9",14
2010,310030,Abre Campo,"74,36","16,3"
2010,310040,Acaiaca,"74,36","16,3"
2010,310050,Açucena,"75,66","14,3"
2010,310060,Água Boa,"72,94","18,7"
2010,310070,Água Comprida,"76,58",13
2010,310080,Aguanil,"75,7","14,3"
2010,310090,Águas Formosas,"73,63","17,5"
2010,310100,Águas Vermelhas,"73,46","17,8"
2010,310110,Aimorés,"73,58","17,6"
2010,310120,Aiuruoca,"77,23","12,1"
2010,310130,Alagoa,"74,93","15,4"
2010,310140,Albertina,"73,76","17,3"
2010,310150,Além Paraíba,"76,43","13,2"
2010,310160,Alfenas,"75,45","14,6"
2010,310163,Alfredo Vasconcelos,"75,01","15,3"
2010,310170,Almenara,"73,18","18,3"
2010,310180,Alpercata,"74,43","16,2"
2010,310190,Alpinópolis,"76,71","12,8"
2010,310200,Alterosa,"75,83","14,1"
2010,310205,Alto Caparaó,"75,54","14,5"
2010,310210,Alto Rio Doce,"74,7","15,8"
2010,310220,Alvarenga,"72,85","18,8"
2010,310230,Alvinópolis,"74,34","16,4"
2010,310240,Alvorada de Minas,"72,65","19,2"
2010,310250,Amparo do Serra,"73,63","17,5"
2010,310260,Andradas,"77,69","11,5"
2010,310270,Cachoeira de Pajeú,"71,25","21,8"
2010,310280,Andrelândia,"74,06","16,8"
2010,310285,Angelândia,"70,36","23,5"
2010,310290,Antônio Carlos,"75,3","14,9"
2010,310300,Antônio Dias,"75,93","13,9"
2010,310310,Antônio Prado de Minas,"74,79","15,6"
2010,310320,Araçaí,"73,28","18,1"
2010,310330,Aracitaba,"74,37","16,3"
2010,310340,Araçuaí,"74,27","16,5"
2010,310350,Araguari,"77,28","11,71"
2010,310360,Arantina,"75,05","15,2"
2010,310370,Araponga,"70,6","23,1"
2010,310375,Araporã,"73,78","17,3"
2010,310380,Arapuá,"77,27","12,1"
2010,310390,Araújos,"76,27","13,4"
2010,310400,Araxá,"76,49","13,1"
2010,310410,Arceburgo,"73,61","17,6"
2010,310420,Arcos,"77,43","11,8"
2010,310430,Areado,"75,84","14,1"
2010,310440,Argirita,74,"16,9"
2010,310445,Aricanduva,"72,22",20
2010,310450,Arinos,"73,88","17,1"
2010,310460,Astolfo Dutra,"76,5","13,1"
2010,310470,Ataléia,"73,77","17,3"
2010,310480,Augusto de Lima,"73,9","17,1"
2010,310490,Baependi,"74,97","15,4"
2010,310500,Baldim,"72,21",20
2010,310510,Bambuí,"77,2","12,2"
2010,310520,Bandeira,"73,64","17,5"
2010,310530,Bandeira do Sul,"73,14","18,4"
2010,310540,Barão de Cocais,"76,46","13,2"
2010,310550,Barão de Monte Alto,"74,64","15,9"
2010,310560,Barbacena,"77,88","10,53"
2010,310570,Barra Longa,"74,36","16,3"
2010,310590,Barroso,"76,84","12,6"
2010,310600,Bela Vista de Minas,"72,72","19,1"
2010,310610,Belmiro Braga,"74,81","15,6"
2010,310620,Belo Horizonte,"76,37","12,95"
2010,310630,Belo Oriente,"73,77","17,3"
2010,310640,Belo Vale,"73,86","17,1"
2010,310650,Berilo,"73,97",17
2010,310660,Bertópolis,"72,96","18,7"
2010,310665,Berizal,"70,41","23,4"
2010,310670,Betim,"76,82","12,68"
2010,310680,Bias Fortes,"72,75",19
2010,310690,Bicas,"75,99","13,8"
2010,310700,Biquinhas,"76,4","13,3"
2010,310710,Boa Esperança,"76,28","13,4"
2010,310720,Bocaina de Minas,"75,87",14
2010,310730,Bocaiúva,"74,29","16,4"
2010,310740,Bom Despacho,"76,66","12,9"
2010,310750,Bom Jardim de Minas,"74,34","16,4"
2010,310760,Bom Jesus da Penha,"76,74","12,8"
2010,310770,Bom Jesus do Amparo,"75,01","15,3"
2010,310780,Bom Jesus do Galho,"73,01","18,6"
2010,310790,Bom Repouso,"74,25","16,5"
2010,310800,Bom Sucesso,"73,49","17,8"
2010,310810,Bonfim,"75,01","15,3"
2010,310820,Bonfinópolis de Minas,"72,73","19,1"
2010,310825,Bonito de Minas,"71,57","21,2"
2010,310830,Borda da Mata,"76,92","12,5"
2010,310840,Botelhos,"77,07","12,3"
2010,310850,Botumirim,"71,94","20,5"
2010,310855,Brasilândia de Minas,"75,87",14
2010,310860,Brasília de Minas,"73,78","17,3"
2010,310870,Brás Pires,"73,03","18,5"
2010,310880,Braúnas,"73,1","18,4"
2010,310890,Brasópolis,"75,45","14,6"
2010,310900,Brumadinho,"76,39","13,3"
2010,310910,Bueno Brandão,"75,9",14
2010,310920,Buenópolis,"72,74",19
2010,310925,Bugre,"73,01","18,6"
2010,310930,Buritis,"73,88","17,1"
2010,310940,Buritizeiro,"71,06","22,2"
2010,310945,Cabeceira Grande,"72,25","19,9"
2010,310950,Cabo Verde,"75,82","14,1"
2010,310960,Cachoeira da Prata,"75,02","15,3"
2010,310970,Cachoeira de Minas,"74,25","16,5"
2010,310980,Cachoeira Dourada,"76,02","13,8"
2010,310990,Caetanópolis,"75,71","14,2"
2010,311000,Caeté,"75,62","14,4"
